"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-12-31","6.04",",,W"," 2124",",,X"," 2117",",,W","0.00",",,0,2400","0.0",",,0,","13.0",",,0,",,,"45",",,0","36",",,0",,,"  240",",,X","  260",",,X","13.0",",,X","19.9",",,X",,,,,,,,,,,,,"    1",",,0","    1",",,X",,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-01","3.13",",,W"," 0001",",,X"," 1310",",,W","0.00",",,X,2400","0.0",",,X,","12.0",",,X,",,,"53",",,X","40",",,X",,,"  250",",,X","  200",",,X","12.1",",,X","16.1",",,X",,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-02","5.14",",,W"," 2232",",,X"," 2319",",,W","0.01",",,X,2400","0.0",",,X,","9.0",",,X,",,,"52",",,X","35",",,X",,,"  290",",,X","  270",",,X","19.9",",,X","28.0",",,X","    1",",,X",,,,,,,,,,,,,"    1",",,W",,,"    1",",,X",,,"    1",",,X",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-03","8.72",",,W"," 0222",",,X"," 0219",",,W","0.00",",,X,2400","0.0",",,X,","6.0",",,X,",,,"36",",,X","28",",,X",,,"  290",",,X","  280",",,X","21.0",",,X","30.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-04","6.26",",,W"," 1715",",,X"," 1448",",,W","0.00",",,X,2400","0.0",",,X,","5.0",",,X,",,,"40",",,X","30",",,X",,,"  250",",,X","  200",",,X","13.0",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-05","6.26",",,W"," 0247",",,X"," 1459",",,W","0.00",",,X,2400","0.0",",,X,","4.0",",,X,",,,"39",",,X","29",",,X",,,"  270",",,X","  300",",,X","15.0",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-06","2.68",",,W"," 1821",",,X"," 1820",",,W","0.00",",,X,2400","0.0",",,X,","2.0",",,X,",,,"33",",,X","26",",,X",,,"  260",",,X","  270",",,X","8.9",",,X","13.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-07","4.92",",,W"," 1835",",,X"," 0545",",,W","0.19",",,X,2400","1.7",",,X,","1.0",",,X,",,,"33",",,X","25",",,X",,,"  270",",,X","  120",",,X","12.1",",,X","16.1",",,X","    1",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,,,,,,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-08","4.03",",,W"," 2257",",,X"," 2256",",,W","0.00","T,,X,2400","0.0","T,,X,","3.0",",,X,",,,"31",",,X","23",",,X",,,"  260",",,X","  260",",,X","12.1",",,X","15.0",",,X",,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-09","11.18",",,W"," 0500",",,X"," 0453",",,W","0.00",",,X,2400","0.0",",,X,","2.0",",,X,",,,"32",",,X","26",",,X",,,"  290",",,X","  300",",,X","21.0",",,X","29.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-10","8.72",",,W"," 1109",",,X"," 0519",",,W","0.00",",,X,2400","0.0",",,X,","2.0",",,X,",,,"35",",,X","24",",,X",,,"  290",",,X","  270",",,X","17.9",",,X","25.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-11","5.82",",,W"," 2028",",,X"," 2028",",,W","0.25",",,X,2400","3.0",",,X,","2.0",",,X,",,,"31",",,X","23",",,X",,,"   50",",,X","   50",",,X","15.0",",,X","17.9",",,X","    1",",,W","    1",",,X",,,,,,,,,,,"    1",",,W",,,"    1",",,X",,,,,,,"    1",",,X",,,"    1",",,X"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-12","11.41",",,W"," 1559",",,X"," 2015",",,W","0.61",",,Z,2400","6.1",",,X,","9.0",",,X,",,,"31",",,X","24",",,X",,,"  270",",,X","  300",",,X","21.0",",,X","30.0",",,X","    1",",,W","    1",",,X",,,,,,,,,,,"    1",",,X",,,,,,,,,,,"    1",",,X",,,"    1",",,X"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-13","10.51",",,W"," 0441",",,X"," 1832",",,W","0.00",",,X,2400","0.0",",,X,","8.0",",,X,",,,"30",",,X","18",",,X",,,"  290",",,X","  290",",,X","17.0",",,X","25.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-14","5.82",",,W"," 2115",",,X"," 2146",",,W","0.00",",,X,2400","0.0",",,X,","7.0",",,X,",,,"30",",,X","18",",,X",,,"  280",",,X","  280",",,X","10.1",",,X","14.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-15","4.70",",,W"," 1756",",,X"," 1241",",,W","0.00",",,X,2400","0.0",",,X,","6.0",",,X,",,,"38",",,X","23",",,X",,,"  230",",,X","  230",",,X","16.1",",,X","23.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-16","8.05",",,W"," 1127",",,X"," 1118",",,W","0.00",",,X,2400","0.0",",,X,","5.0",",,X,",,,"37",",,X","26",",,X",,,"  290",",,X","  320",",,X","17.0",",,X","23.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-17","6.93",",,W"," 0253",",,X"," 0252",",,W","0.00","T,,X,2400","0.0","T,,X,","4.0",",,X,",,,"27",",,X","19",",,X",,,"  330",",,X","  320",",,X","14.1",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-18","9.84",",,W"," 1518",",,X"," 1517",",,W","1.27",",,X,2400","1.0",",,X,","5.0",",,X,",,,"41",",,X","24",",,X",,,"   60",",,X","   60",",,X","21.9",",,X","31.1",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,,,"    1",",,X","    1",",,X","    1",",,X","    1",",,X",,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-19","5.59",",,W"," 2002",",,X"," 2127",",,W","0.07",",,X,2400","0.0",",,X,","2.0",",,X,",,,"41",",,X","35",",,X",,,"  270",",,X","  310",",,X","14.1",",,X","17.9",",,X","    1",",,W",,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,"    1",",,X",,
